,Header,Review,Rating,Date
10,"Wait another 10 years before you go, it might be ok then. Now, its rubbish.",it s all about the genie rip off and causes so many issues can only book one ride and then wait maybe hours before your next slot genie makes stand by lines impossible and slow the quality attention to detail and benefits of disney have been decimated and there is only one reason for that people will still turn up but prepare to pay for it and what a shame disney is now more focused on its profit margin you can still do quality of service and experience and still have a very healthy profit ,1,2022-04-23
11,Fun But Greed is Ruining the Experience,i have been going to disneyland for over years and i have to say this was probably my last trip the place has just gone downhill i completely understand posting or rides under maintenance but to have yes rides breakdown on you while you are there for a day visit is just horrible all of these rides were on our lightning passes which of course when we reached out to disney and they didn t care and had no plans to give you the refund we paid for this monster s inc we actually were walked off of the ride mid ride yep lights came on and we were ushered off no sorry or anything jungle cruise we broke down and had to wait on the boat for minutes until it started up again haunted mansion splash mountain and peter pan all stopped while on ride as well while waiting over an hour in line star wars rise of the resistance they shut down for the rest of the night the others that shut down while standing in line were cars big thunder soaring splash mountain the nd time the plus side were the photographers they were very nice shooting photos the food however is average and over priced but that is expected just very sad to see disney go downhill you can see several youtube videos with others saying the very same thing customer service is not a priority here anymore ,3,2022-04-21
12,$$$$$$$,we were very disappointed firstly the genie that we purchased disappointed as one can only setup an appointment one at a time we waited hours for our indiana jones ride only to have it temporarily go down at that point we could book another ride but some of them were for hours in the future they didn t even guarantee that we go on indiana jones after it opened so we missed out we were not impressed with the star wars rides the rise of thr resistance simply shuffled us from one room to another for most of the ride very disappointing if you want to go on rides don t go to disneyland if you want to pay exorbitant prices for clothes and memorabilia disneyland is your place if you want to spend on a coke or ounces of lemonade then disneyland is your place otherwise universal studios is great and so is legoland for the young set ,2,2022-04-20
13,Last trip-- Quality has gone in the dumpster!,excellent very generous breakfast at the carnation cafe great staff there too guests were in great moods and very polite to each other of guests were not wearing masks at all but no one hassled anyone else about mask no mask genie worked well and is worth the mobile orders from the disney app is an excellent way to save time and hassle getting food,1,2022-04-19
14,Disappointing,i have been coming with my family every year for many years now used to new experiences and top quality in everything this year we come back very disappointed the ticket cost raised considerably the new genie is far from working fine we payed for having an app that needs to be rebooted every time not showing our reservations well not showing attraction times etc you pay for lighting lane and when you get there at your time yo still have to make a minute line of every attractions were temporarily closed for malfunction we have never had too many attractions failing the same day loosing or next appointments not being able to schedule the next one or stuck for several minutes many spots only accept app purchases on an app that doesn t works food quality is not the same as before incredible that even if you pay for genie you still have to pay for lighting lane at the main attractions and having to make a min line after malfunctions in them so much diversity does not represents most of the families specially in merchandise surprisingly we saw many staff members not so friendly a bit stressed and angry ,2,2022-04-17
15,Love Disneyland,disneyland park was very enjoyable as well as california adventure at disney our family had a terrific time and this was our second visit with young kids we went during the food and wine festival which was also great ,5,2022-04-15
16,"Pixar pier was amazing, Disneyland Nostalgic but like Disney World better",if you are over or have difficulty walking get a scooter it was a tremendous help morning hours are the best time to ride the popular rides if you can afford it get the genie for the lightening lanes it will save you a lot of time and ensure you get to ride your favorites especially when you are on a tight schedule cast was friendly food was good ,5,2022-04-15
17,Spring Break,go back to walt disney s values disney magic is completely gone they can t stay neutral on politics there an amusement park not a political entity iam done they are on the wrong side of what s right and decent what a shame i will hold onto my childhood memories i used to love going to disneyland they have disappointed on so many levels from pricing to all the ridiculous politically correct changes they have done to rides the same sticks and stones may break my bones but names can never hurt me that s not a lie anymore now if you say anything it apparently urch worse than getting a broken leg no more annual passes for us we re gonna spend our money elsewhere sad very sad ,4,2022-04-14
18,"Lines, lines and more lines",there s a lot of planning on the front end with the launch of the app genie and lightening lane but if you take the time to properly plan and stay in the park disneyland hotel is excellent the experience really is magical and so much fun paying extra to do the star wars ride is so worth it it s incredible definitely don t miss splash and space mountain rides know that the photos from the rides are no longer walk up for prints but rather take a photo of the code on the monitor to upload on your phone via genie we ate churros a number of times the best otherwise napoli in downtown disney was excellent for lunch goofy s kitchen is great for the experience but the food buffet is meh and you pay easily ,2,2022-04-14
19,Done with Disney,visited anaheim disneyland april we re a family of disney fanatics and have been many times before covid we found the park much changed disney is limiting the amount of guests make sure you have reservations before going there a one day one park ticket varies in cost depending when you go to avoid standing in long ride lines you need to purchase genie service for an extra per person we had in our party for an additional above the park tickets genie service works similar to the old fast pass tickets which were free the new star wars ride cost an additional per person if you want to ride it table service restaurants get booked months in advance if you can t get a reservation you take a chance of going on a wait list do that when you first arrive for the best chance for a table service restaurant you are required to hold the reservation with a credit card no shows lose the holding fee the other options are fast foods burgers pizzas etc we found the majority of disney cast members cold they did their job and that s it the happy smiling faces are gone i believe part of this is they re overworked and paying guests are unable to get the service they once did so disney cast members get the heat not sure if disney world is experiencing the same issues yes we used to go there once a year too but anaheim disney isn t the park we once knew would we go back probably but only when we have out of town visitors who always ask to go but to go regularly as we once did no not until disney stops nickel and diming visitors and gets organized hopefully now that the pandemic is behind us disney will get back to being the happiest place on earth rather than the priciest place on earth ,1,2022-04-13
20,"Tons of fun, and perhaps unexpectedly",started off bad the website would not work for me after hours of trying everything i could i ended up calling the help desk i forgot the person s name that helped me but she was the best experience i had with disneyland she spent hours helping me and finally success she was very nice patient kind and helpful she gets an a in my book and deserves a reward she represented disney well why i couldn t have her book for me is beyond me what a stupid system disneyland itself was disappointing last time we went was about years ago many of the rides were jolting far from smooth that can give whiplash they would have been fun if the rides were smoother but after of those rides we stopped picking the thrill rides a surprising of the rides were broke throughout the day night the good thing was both the public and disney staff were nice and helpful a couple gave us tips on how to use genie and waiting in lines it was nice talking with people no one we met was grouchy and anytime we needed assistance and asked staff questions they were surprisingly happy and helpful i suspect they get millions of questions a day and the way they responded to us was as if we were the first to ask them for help the staff all deserve kudos the web site deserves an f and the thrill rides get a d f for how choppy the ride was and how they kept breaking down waiting another years will be fine with me ,5,2022-04-12
21,Worth the visit,we couldn t get tickets as it was a late decision we kept refreshing the disney website for days till we got adventure park tickets tried all day to convert to hopper but couldn t the adventure park closed early that day at so on the way out tried one more time to get hopper and we got them so we had hrs to enjoy it we had genie so we were able to do about rides which was beyond my expectations cast members were also very kind in letting my kids in at in the genie even though it was not available on the app it is smaller than disney world so you are able to move from land to land quickly,5,2022-04-08
22,Fancy World for Kids and Adults alike!,my kids my wife and i enjoyed every moment of the day except for the long lines do your family and yourself a favor and just by the lighting lane pass it definitely worth every penny,5,2022-04-05
23,They care about money more than their customers.,i accidentially double purchased already over priced tickets for my family and spent hours same day on hold pleading with various people to refund one set of tickets they refused and just kept repeating their policy that the tickets are non refundable i have no respect for an organization that refuses to hear out its customers and have any flexibility from their rigid policy there is almost no other industry that works this way even airlines always let you cancel purchased flights within hours ,1,2022-04-05
24,"Rising prices, lowering standards",with ticket prices so high i expected good service sadly the higher prices accompany lower park quality litter on the streets seems to have i creased restrooms have wet floors not from recent cleaning the park has funky smells that do not enhance the experience the nee lower standards for employees seem to have lowered the level of frienlyness and competence i have gone to disneyland almost every year i expected better i hope they can get it back together ,1,2022-04-02
25,Sad cash grab,after many years of truly magical vacations at disney world we spent for two of us at disneyland including park hopper and genie and it was the single worst disney experience we ve ever had the new system doesn t work we spent the entire day standing in lines thanks to the new system recently discontinued single rider lines and the fact that disneyland crams the entire universe into one park with no hope of having less than a one hour wait sometimes hours even though we arrived at the park an hour before opening we will never ever go there again ,2,2022-03-31
26,New system DOES NOT WORK-miserable experience and $$$$$,my family adults and children spent a week in la for spring break i booked four disneyland single park tickets with genie a month in advance we spent hours am to pm in the park and were not able to see everything we wanted to but had a lot of fun the park was clean but very crowded even with genie we waited in many long lines the food was okay but very expensive overall a positive experience but we enjoyed our day at universal studios more ,1,2022-03-30
27,Not so magical,i love disneyland the cleanliness creativity attention to detail and exceptional customer service a bit disappointed that the genie plus service does not include all high activity rides and that a lightning lane is required for the ride with the longest wait that would have resulted in an additional on top of our base tickets and genie plus service i would recommend alloting more than a day to be able to enjoy all that the park has to offer trying to squeeze everything in a day was a bit tiring and overwhelming especially on the high volume day we attended ,2,2022-03-30
28,"Still Magic, But Much Room for Improvement",disneyland is still a wonderful and magical experience they re masters of crowd control even when it seems overwhelmingly crowded the rides are amazing at still bring joy to many age groups the new star wars area of the park is incredible and really transports you to that world the park is still spotless everywhere you go which is very nice there are some places where disneyland could improve plastic waste there was so much plastic waste within the park that was really disturbing to see on such a massive scale disneyland could be a leader with it s reach in doing away with single use plastics at their parks why not use composable vessels for all the food that is served throughout the park political social statements on clothing i saw so many disturbing political and pro gun statements on clothing at the park have a dress code at your park if someone has a shirt advocating gun violence at a park for families make them cover it up maintaining the rides during our day trip we had a lot of issues with rides being down at one time or another in one day we experienced delays due to rides being down at the following rides big thunder mountain pirates indiana jones space mountain jungle cruise haunted mansion rise of the resistance toy story midway mania and the incredicoaster when one of these popular rides goes down it increases the the wait time at another ride when multiple top attractions go down it causes a real problem these were all just temporary but they were on top of permanent closures of attractions like toon town and grizzly river run being closed for refurbishment healthy eating for god sake just offer a place with some healthy meal options disneyland is in southern california home to some of the best farmland in the entire country but try finding some fresh fruit or low sugar options to eat for a snack sugar is great for a treat but just give us something good to eat ,3,2022-03-28
29,Fantastic just isn't a strong enough word!,what can you say disneyland is the place to go we took advantage of the genie app and ordered meals ahead of time checked ride wait times and scheduled our day ,5,2022-03-26
30,Walt would be sad....,let me start off by saying i m a huge disneyland fan ive been going for over years i get excited every time i get to take my grandchildren and i was excited taking my children and i was excited when i was a kid ok so first don t go if you don t pay for the genie plus service it will be a very frustrating day second be aware there will be extra charges for some of the premium rides sooo you will be out an extra dollars per person if you want to ride everything and not be in line all day and that amount is on top of very high ticket cost by the way that is per day for genie per person dollars to ride new star wars ride dollars for spiderman per person and dollars for cars ride per person i elected to stand in the normal line for the cars ride and they literally let people go for every forty people that paid the bucks so it was a long wait and kind of frustrating it seems like disney is kind of separating people by their social standing if you cant afford it you are second class the cast was great as usual but the first rides we got on broke down one for over a half hour several were closed and over all we were effected by rides broken down over the day while we were on them i still had a decent time but i think walt would be sad to see that people with less money do not get the same experience as people who can afford to pay more long story short disney is now mostly magic if you have deep pockets if not you wont get the same experience as someone that does that makes me kind of sad last but not least the food was mostly terrible i spent dollars on lunch and it sucked even the french fries sucked i still loved taking the grandkids but much of the magic is gone ,2,2022-03-20
31,Disney,it is no longer the happiest place on earth the new set up with everything being done on your phone gives you no time to relax and enjoy anything disney has gone to much on the control of there guests they say you can plan your day but don t believe it ,3,2022-03-16
32,Disneyland = Theft,quick story time i never write poor reviews as i am a business owner and understand how it can impact them but this needs to be public info on how this large cooperation treats their customers we purchased day park hoppers and planned to use from march first two days were fine until disneyland closed the park on the th obviously full stop to our vacation but still on the hook for flights hotels etc fast forward until now we had family members on that trip disney has extended the tickets for a dec expiry so i was planning on going back down problem is that only of the original guests can join i tried using the app and calling customer service to allocate the unused days from my other two family members that can t go and we have already paid for to the ones that can no we can t accommodate that request can we refund the unused days left on the tickets no you have to come back with all people to get any value can you do anything for me i can refund the max pass portion of the tickets so you can pay more at the park for the worse genie plus in summary it was disneys decision to close the parks and their answer for the people they stranded during that time fly and room everyone back down at your expense and we will not make any accommodations from our policy avoid at all costs ,1,2022-03-16
33,Most miserable place on earth,we visited on a wednesday in february crowd was large though we were able to get on most rides in min or less there is wide variety of attractions with star wars area being most recent addition and rise of the resistance being a must do a ride like no other it was nice being able to tour the castle the bobsled coaster is a bit rough pirates of the caribbean is a classic haunted mansion a must do indiana jones fantastic this was our first visit and i look forward to returning again ,1,2022-03-16
34,A Great Park,despite being smaller than any of the four parks at the walt disney world resort in florida there is more to do here in fact a first time visitor might be overwhelmed in addition to a load of dark rides in fantasyland not found in orlando s magic kingdom there s also indiana jones and the legendary matterhorn not to mention entire additional sections like galaxy s edge and mickey s toontown it can also be argued disneyland has superior versions of space mountain and pirates of the caribbean unlike its florida counterparts disneyland also has a genie system that works i was able to book and use every single one available to me throughout my day and even an individual lightning lane for rise of the resistance try doing that if not staying in a resort at wdw even then i had a difficult time doing everything because of the sheer volume of attractions if you ve never visited before you ll likely need two days and two days would be nice even for repeat visitors it s iconic for good reason ,5,2022-03-12
35,"Iconic, for good reason",first off let me say i love disneyland it s my favorite place to visit i was just there with my daughter and we purchased the genie plus which allows you to get on rides faster similar to fast pass it worked wonderfully but disneyland has now decided to charge you extra if you want to get on the rides cars per person webslingers and rise of the resistance per person faster it s not enough that you purchase the genie plus just for that purpose this is so wrong they make so much money already and then to just gauge you more by making you pay more to ride a ride come on disneyland i hope this is not a new trend most of the employees were very nice but not how it used to be you used to be greeted with a smile by everyone and made to feel that it was the happiest place on earth the rides continuously were down throughout our stay after being closed for a year i would think that would be plenty of time to make sure everything was in tip top shape so that the rides would not be breaking down one night while we were there of the most popular rides broke down maybe disney needs to start thinking about the people supporting them and not so much about the almighty dollar everything is beyond expensive and the extra payment to ride some of the rides is ridiculous ,5,2022-03-10
36,Love Disney but......,in the past i would have rated disneyland with five stars after going there during christmas the park has really changed it s all about money and not fun they went to a tier system which made our grandkids ticket go from to for one day we found that many employees where very rude it is not the happiest place on earth anymore it s all about the all mighty dollar i think walt would not be too happy ,4,2022-03-07
37,"While there is no comparison to Disney World. It was nice. Small, lots of people, lots of same rides. A one time visit.",where do i begin the crowds were so bad we were only able to get on three rides in six hours we left the park around pm and went back to our hotel room in hopes of returning later that evening when the crowds would i assume calm down while walking back to the park on harbor blvd about mile from the disneyland entrance around pm my wife and i were jumped and assaulted by a homeless person who pushed me to the ground so hard i required medical attention he ran away before anyone could come help me my wife and i said enough is enough and grabbed an earlier flight home the next day just to get out of there people don t realize how dangerous it is outside the park in crazy california so always walk with a large group if you can as for us we are never returning to the happiest place on earth the place just isn t the same anymore it started with a mouse and is ending with a rat ,4,2022-03-05
38,A nightmare experience,the parks are super crowded even during off peak days and weeks the genie system has broken several of the standby queues of other attractions because of the volume of lightning lane passes they distribute we stood in a deceptively short line for soarin for well over an hour because there was an equally long line on the ll side about maybe six standby people made it through with each group sent down to to board the soarin attraction each cycle the rest was entirely ll riders for over an hour and i can t imagine it was any different before and after we got there everything about the park has completely dropped any pretense of being anything beyond a cynical cash grab ticket prices continue to soar and anything they can think of to tack an extra fee onto they re going to as of today the price for one adult single day pass is at least tack on another if you want to park hop which you can t do until after pm anyways you could shoot for two single park days but then you re looking at about instead of about per adult there s always the socal tickets if you re local but then you re restricted to weekdays once you ve emptied your wallet there you re looking at an additional parking fee per day what is it now if you want to use the lightning lane fastpass service that s another a day per head want that lightning lane on one of the more popular rides that s a separate charge that fluctuates but i ve seen hit as high as and that s not part of the genie fee you paid and is also per person and you d think with all this extra income the parks would be at least as clean and well maintained as they used to be but just like thinking buying these tickets was a good idea you d be wrong they re surprisingly behind on cosmetic upkeep given how much time the parks were closed to the public recently chipped paint lights out storefronts closed off for remodeling tarzan s treehouse covered in scaffolding toontoon closing down for remodeling cleanliness is on the decline portion sizes are decreasing but hey at least you get to view the magic right it s only taken them half a year to decide to bring back parades and the like ,1,2022-03-04
39,An exorbitantly expensive an anticlimactic experience.,right now march all they are offering is three day tickets even aaa only sells the three day tickets the cheapest ticket is per person so bringing your family of four will set you back and who wants day tickets anyway nobody disneyland used to cost when i was a kid they are just about money and the goal is no longer to make people happy but to fleece them out of a small fortune for family of four walt is spinning in his grave ,1,2022-03-04
40,Can't go as tickets are insanely expensive,for the happiest place on earth their customer service seems not to have gotten the memo my wife and i accidentally purchased duplicate tickets for the same visit same dates same people next month and disney is refusing to provide on one of the duplicate tickets hours spent on hold eventually got hung up on by a supervisor needed to dispute with the credit card company come on disney you can do better ,1,2022-03-03
41,Bad experience,still excellent and new additions like star wars galaxy s edge keep it refreshed and up to date have been many times and it continues to be a new experience even as the kids get older ,2,2022-03-02
42,Finally back!!!!!,i just want to say that i fell in love with disneyland it s magical steeped in history and has a really authentic feel that being said man does it get crowded and boy is it expensive it loses a star because while we had plenty of great cast interactions shout out to shannon in chamber of commerce at dca of the time we were greeted by cast members who looked like they d lost the will to live don t get me wrong wdw and dlp have them too but not in the abundance that we found them here i m afraid which is a shame we knew we were off to a bad start when we arrived and went to get a birthday button and she didn t even say happy birthday just pointed to a stand with buttons it wasn t until the end of my second day that a lovely guy called joe in a gift shop in critter counter dca was serving me that he offered to write my name on it for me i get being busy and all but disney is meant to be setting the world standard of customer experience and on this trip it was not ,5,2022-02-26
43,The SADDEST happiest place in the world,unbelievable terrible customer service i have park hopper tickets and only one day tickets are available to reserve the day they said i would have to buy a single ticket for people and eat it on the park hopper ticket because that reservation is not available what lose almost plus rebuy the tickets as single park tickets this will be a one and done experience does t even come close to comparing to the customer service at disney world totally disgusted ,1,2022-02-24
44,TERRIBLE customer service!!,we opted to get genie plus which allowed us to go on every attraction at least once i am not sure that would have been possible without the genie plus we went in january because it was said crowds would be low however the park was packed every day there were no shows but characters were seen regularly throughout the park most disappointing was there was no place to eat there are only a couple sit down restaurants and they were booked up months ago the kiosks only sell junk food so we essentially went hungry at disneyland the cast members were clearly stressed some were outright rude although there were a few cast members who were pleasant to talk with ,1,2022-02-21
45,Disneyland is even fun in the rain and hail over a workday,disneyland is so much fun we had a great family vacation at disney it made me miss walt disney world so now we are planning a trip to florida love love the disney parks ,3,2022-02-16
46,Horrifying treatment by cast member,first trip to disneyland great time husband adult daughter me we are park people we rope drop close down the park we had great experiences rides food we bought the genie it was well worth it but needed our techy daughter to navigate after a few days several hrs on hold my oxygen scooter disabled husband finally got to speak with a rep for the das pass rep was great pleasantly surprised he was able to take o concentrator on rides no roller coasters or drop towers not sure about soarin so skipped it improvements needed for charging stations for medical equipment shouldn t have to idly sit in st aid i found plug on main st so husband would have enough o to get back to disneyhotel more photo opportunities ride photos of unmasked should be covered so we could have our ride photo also very long walk need transportation staying on property but no extra hrs perks need transportation ride operators fantastic with das got to do all we wanted and had great time ,1,2022-02-15
47,"very crowded, but still fun",hadn t been there for years nice to see changes and also nice to see the same friendly and clean park that everyone has been remarking has gone downhill i didn t notice that at all maybe it s all in the way you treat the cast members first i prefer the way they do the characters now sure there are no hugs but you can still get a good socially distanced interaction and i hope they keep it that way i also like the reservations for the park itself i hope that doesn t go away if there s any complaint it s what did they do to the turkey legs i know it was always a love hate relationship between people i used to love them the one i got was so sinewy and full of other bones even with a knife it was impossible to get the meat off so that ll do it for turkey legs for me i don t usually eat at the parks ate at hungry bears this time and enjoyed the food the merchandise in the stores is very scant i m not a souvenior shopper but the friend i was with is and the shelves and racks were wont for more stuff ,4,2022-02-09
48,So Much Fun,no need to pay extra to sit in the blue bayou you can always eat at cafe orleans and get the same food my family loves the monte cristos though they have gotten smaller as of late which is good since too much went to waste i got the shrimp and grits which were fabulous fun times ,5,2022-02-08
49,Disneyland first time - family - disabled - great time but room for improvement!,overpriced shawdow of disneys dreams parks very crowded cast members are not helpfull just a headache every time you need something if you already payed a vacation try to posterize it all the people are insatisfied and tired at disneyland ,5,2022-02-07
50,Great day at Disney!,this was my th trip to disneyland we had lots of fun rides and atmosphere was good the only complaint i had was the pre ordering of food on the app it was a pain to order food in advance and then hang out at a location waiting for it other than that it was good ,4,2022-01-30
51,"Still Good, Not Quite “Magical”",first time at disneyland even though the park is smaller than disneyworld we walked miles in one day hate the fact they charge for lightning lane now but it definitely does save you time my son and i rode pretty much on every ride and yes even the canoes we were there from opening to close unfortunately the winds were high so no fireworks ,4,2022-01-28
52,Disney - what do you expect?!?!,once great is a shadow of former self and is just milking it many of rides are broken or shut down new rides are barely interesting and frequently in operable even when the best parts of rides are not functioning for example this weekend trip indiana jones was mostly inoperable no big snake cement ball or vocal tracks yet stayed open so they could lure people into the park small world played jngle bells for almost of ride wasn t localized in other languages its jan th for crying out loud is disney that lazy that that cant remove a few decorations and convert ride back to its theme autopia the cars are so de tuned they are almost inoperable and slower than walking way too boring the food is uninspring ticket prices are advertized at day yet they charge day only avail if buy day pass further whil they have disbanded the fast pass you can now get to front of line if you pay an extra ticket for a genie pass but that desnt work for new star wars ride you have to pay we are unlikely to be back for a very long time and while many will go here i doubt walt would find all the ride down time and money grabbing moves they are taking acceptable ,4,2022-01-25
